pivotal,重大な
furious,"激怒した

be furious with"
despise,軽蔑する
conscience,良心
aspiration,"熱望

aspirations for peace"
grief,"深い悲しみ

be in grief"
distress,"苦しみ

be in distress
the news distressed me"
contend,争う
apprehension,"不安

apprehend
捕まえる"
melancholy,"憂鬱

She was lost in melancholy 
ふさぎ込んでいた"
peer,同等の者
contempt,"軽蔑

feel contempt for people obsessed with designer clothes"
designer clothes,ブランド物の服
nuisance,迷惑(な物)
menace,"厄介な物
脅威"
on the verge of,"寸前の

be on the verge of tears"
adequate,"十分な
適切な"
trivial,些細なこと
hence,"だから
それゆえに"
virtual,"事実上の

virtually impossible"
namely,すなわち
whereas,だが一方
blow one's nose,鼻をかむ
grim,厳しい 恐ろしい
gut,"はらわた
根性 勇気

on the gut level = by intuition"
diabetes,糖尿病
a recipe for disaster,災いの元凶
metric,判断基準
as of,"~現在
as of today 今日時点で"
distribute,配る
pretty well,まあまあ
a genuine Picasso painting,本物のピカソの絵
ominous,不吉な
indulge,"喜ばせる
甘やかす

He’s indulged in his own fantasy 

Indulge me 
俺を楽しませてくれ
少し付き合ってくれ"
clinch it for X,"Xにとって決定打だった

clinch:掴む、固定させる

The answer clinched it for me 
This homerun clinched the game"
self-proclaimed,"自称の

proclaim:宣言する、公にする"
fanatic,マニア
sheepish,内気な、気の弱い
alas,ああ悲しや
hold it against him,"it を理由に、彼に根を持つ、恨む

She held the past against him"
beg off,"辞退する
(丁重に)断る

I begged off the dinner invitation"
pass up,"見送る

pass up a chance"
on the spot,"すぐに
その場で"
dismissive,"見下すような
横柄な"
sever,切断する
descend,"下りる

asend"
descendant,子孫
avenge,"の仇を討つ
avenge the dead comrade 

take revenge on 
I took revenge on my boss for the insult"
squint,"目を凝らす
細める"
